Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
6333,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP192,DP192,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6334,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP193,DP193,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6335,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP195,DP195,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6336,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP196,DP196,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6337,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP197,DP197,"RM 180,000.00","RM 180,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6338,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP199,DP199,"RM 123,300.00","RM 123,300.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6339,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP2,DP2,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6340,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP20,DP20,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6341,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP200,DP200,"RM 135,700.00","RM 135,700.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6342,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP202,DP202,"RM 133,700.00","RM 133,700.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6343,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP203,DP203,"RM 216,500.00","RM 216,500.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6344,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP204,DP204,"RM 202,600.00","RM 202,600.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6345,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP205,DP205,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
